
(1)3D array has axis 3 with shape (121, 121, 121) and has 1771561 Voxcels

(2)Resolution -> 0.1
(3)step_distance -> 0.1
(4)fluid_diffusion_coefficient -> 2500.0 micro_meter^2/sec
(5)surface_relaxivity -> 20 micro_meter/sec
(6)radius -> 50 pixcels

===========
surface area is 470.7000000000001

=======
Volumen of sphere is --> 523.3050000000002


======
S/V = 0.8994754493077649
0|| T:6.666666666666668e-07 || F:1.0 || iteration time: 0.0005447864532470703 || diff : 0.0
4|| T:3.333333333333334e-06 || F:1.0 || iteration time: 0.00027179718017578125 || diff : -3.199948800547414e-05
8|| T:6e-06 || F:0.999 || iteration time: 0.00025844573974609375 || diff : 0.0009360020479562969
12|| T:8.666666666666666e-06 || F:0.999 || iteration time: 0.0002586841583251953 || diff : 0.0009040046078525599
16|| T:1.1333333333333332e-05 || F:0.999 || iteration time: 0.0002536773681640625 || diff : 0.000872008191650453
20|| T:1.3999999999999998e-05 || F:0.999 || iteration time: 0.0002524852752685547 || diff : 0.0008400127993173356
24|| T:1.6666666666666667e-05 || F:0.999 || iteration time: 0.00025200843811035156 || diff : 0.0008080184308204563
28|| T:1.933333333333334e-05 || F:0.999 || iteration time: 0.00025391578674316406 || diff : 0.0007760250861268414
32|| T:2.2000000000000013e-05 || F:0.999 || iteration time: 0.00025010108947753906 || diff : 0.0007440327652039613
36|| T:2.4666666666666686e-05 || F:0.999 || iteration time: 0.0002472400665283203 || diff : 0.0007120414680189535
40|| T:2.733333333333336e-05 || F:0.999 || iteration time: 0.00024962425231933594 || diff : 0.0006800511945390664
44|| T:3.000000000000003e-05 || F:0.999 || iteration time: 0.0002460479736328125 || diff : 0.0006480619447316593
48|| T:3.266666666666669e-05 || F:0.999 || iteration time: 0.00024890899658203125 || diff : 0.0006160737185637588
52|| T:3.533333333333335e-05 || F:0.999 || iteration time: 0.0002505779266357422 || diff : 0.0005840865160027242
56|| T:3.800000000000001e-05 || F:0.999 || iteration time: 0.00024628639221191406 || diff : 0.000552100337015804
60|| T:4.066666666666667e-05 || F:0.999 || iteration time: 0.0002448558807373047 || diff : 0.0005201151815702465
64|| T:4.333333333333333e-05 || F:0.999 || iteration time: 0.00024771690368652344 || diff : 0.0004881310496331892
68|| T:4.5999999999999986e-05 || F:0.999 || iteration time: 0.0002453327178955078 || diff : 0.00045614794117210256
72|| T:4.8666666666666646e-05 || F:0.999 || iteration time: 0.0002486705780029297 || diff : 0.00042416585615412394
76|| T:5.1333333333333305e-05 || F:0.999 || iteration time: 0.0002498626708984375 || diff : 0.00039218479454639077
80|| T:5.3999999999999964e-05 || F:0.999 || iteration time: 0.0002505779266357422 || diff : 0.0003602047563163735
84|| T:5.666666666666662e-05 || F:0.999 || iteration time: 0.0002465248107910156 || diff : 0.0003282257414310985
88|| T:5.933333333333328e-05 || F:0.999 || iteration time: 0.0002465248107910156 || diff : 0.00029624774985792524
92|| T:6.199999999999995e-05 || F:0.999 || iteration time: 0.0002448558807373047 || diff : 0.00026427078156421313
96|| T:6.466666666666661e-05 || F:0.999 || iteration time: 0.0002446174621582031 || diff : 0.00023229483651698857
100|| T:6.733333333333327e-05 || F:0.999 || iteration time: 0.00024318695068359375 || diff : 0.000200319914683722
104|| T:6.999999999999993e-05 || F:0.999 || iteration time: 0.0002453327178955078 || diff : 0.00016834601603155086
108|| T:7.266666666666659e-05 || F:0.999 || iteration time: 0.000244140625 || diff : 0.00013637314052783456
112|| T:7.533333333333324e-05 || F:0.999 || iteration time: 0.0002465248107910156 || diff : 0.0001044012881397105
116|| T:7.79999999999999e-05 || F:0.999 || iteration time: 0.00024080276489257812 || diff : 7.243045883442711e-05
120|| T:8.066666666666656e-05 || F:0.998 || iteration time: 0.0002529621124267578 || diff : 0.0010404606525793447
